temperature,rainfall,humidity,yeild_apples
25.00,76.00,99.00,77.30
39.00,65.00,70.00,62.30
59.00,45.00,77.00,63.80
84.00,63.00,38.00,54.70
66.00,50.00,52.00,54.20
41.00,94.00,77.00,74.90
91.00,57.00,96.00,83.30
49.00,96.00,99.00,88.10
67.00,20.00,28.00,33.40
85.00,31.00,95.00,73.80
78.00,46.00,34.00,46.40
31.00,40.00,63.00,49.70
52.00,77.00,85.00,76.00
28.00,66.00,77.00,63.90
32.00,50.00,57.00,49.90
31.00,79.00,53.00,56.40
45.00,76.00,48.00,55.80
80.00,52.00,27.00,45.10
24.00,45.00,90.00,63.30
20.00,89.00,84.00,72.70
32.00,20.00,96.00,60.40
56.00,44.00,74.00,61.40
93.00,70.00,80.00,79.60
62.00,87.00,73.00,75.00
85.00,48.00,90.00,76.40
87.00,86.00,93.00,89.70
43.00,57.00,69.00,60.20
28.00,71.00,44.00,48.90
44.00,95.00,58.00,66.30
88.00,48.00,46.00,55.00
80.00,50.00,38.00,50.00
27.00,75.00,89.00,72.40
93.00,61.00,73.00,73.40
31.00,87.00,62.00,63.30
38.00,94.00,44.00,57.80
55.00,93.00,55.00,66.40
56.00,22.00,47.00,41.30
38.00,64.00,79.00,66.30
26.00,22.00,40.00,31.80
27.00,98.00,24.00,46.80
55.00,37.00,38.00,41.10
63.00,69.00,46.00,56.30
21.00,34.00,21.00,24.90
31.00,89.00,85.00,75.40
45.00,69.00,91.00,75.20
48.00,86.00,77.00,73.90
27.00,51.00,27.00,34.20
40.00,47.00,88.00,66.10
29.00,45.00,69.00,53.80
35.00,55.00,85.00,66.00
62.00,43.00,58.00,54.30
67.00,95.00,54.00,68.90
35.00,46.00,55.00,48.30
36.00,75.00,28.00,43.70
97.00,62.00,87.00,81.50
29.00,52.00,25.00,33.90
31.00,26.00,72.00,50.00
94.00,100.00,59.00,78.30
47.00,52.00,76.00,63.00
46.00,52.00,70.00,59.80
40.00,68.00,72.00,64.40
35.00,27.00,84.00,57.10
69.00,96.00,29.00,57.10
69.00,57.00,52.00,56.90
33.00,45.00,71.00,55.60
88.00,95.00,82.00,87.10
48.00,90.00,69.00,71.10
55.00,78.00,66.00,67.40
28.00,44.00,67.00,52.30
34.00,58.00,27.00,37.70
62.00,46.00,89.00,70.70
92.00,78.00,89.00,86.30
20.00,69.00,70.00,59.70
88.00,49.00,65.00,64.80
56.00,83.00,36.00,54.10
51.00,67.00,54.00,57.30
47.00,50.00,71.00,59.90
32.00,94.00,71.00,70.10
33.00,21.00,96.00,60.90
100.00,81.00,69.00,78.80
31.00,58.00,22.00,34.60
74.00,96.00,33.00,60.10
79.00,98.00,99.00,94.70
49.00,76.00,38.00,51.60
78.00,51.00,79.00,70.40
28.00,51.00,62.00,51.90
43.00,49.00,55.00,50.80
73.00,62.00,50.00,58.20
41.00,59.00,78.00,64.90
44.00,31.00,52.00,44.10
29.00,97.00,29.00,49.40
38.00,75.00,60.00,60.10
68.00,60.00,29.00,46.10
46.00,71.00,37.00,49.00
44.00,39.00,49.00,45.00
25.00,78.00,31.00,43.90
52.00,84.00,47.00,59.10
20.00,98.00,71.00,68.90
99.00,47.00,67.00,67.40
68.00,83.00,94.00,85.50
38.00,90.00,20.00,44.60
99.00,67.00,43.00,61.40
53.00,71.00,39.00,51.40
85.00,30.00,49.00,50.50
90.00,20.00,43.00,45.50
62.00,67.00,38.00,51.50
81.00,81.00,78.00,79.50
23.00,69.00,65.00,57.80
86.00,66.00,22.00,48.00
58.00,89.00,76.00,76.30
28.00,51.00,88.00,64.90
98.00,33.00,76.00,67.50
41.00,22.00,84.00,56.80
52.00,69.00,60.00,61.10
46.00,68.00,38.00,48.60
87.00,35.00,54.00,54.90
37.00,76.00,74.00,67.20
86.00,80.00,40.00,61.20
57.00,86.00,45.00,59.70
31.00,94.00,87.00,77.90
45.00,31.00,46.00,41.30
26.00,20.00,31.00,26.70
56.00,36.00,68.00,56.00
96.00,96.00,48.00,72.00
35.00,57.00,23.00,35.60
51.00,28.00,78.00,57.60
44.00,40.00,78.00,59.80
69.00,44.00,78.00,66.00
52.00,29.00,84.00,61.10
49.00,91.00,85.00,79.60
44.00,45.00,51.00,47.80
92.00,48.00,78.00,71.80
37.00,30.00,42.00,37.40
62.00,34.00,59.00,52.10
66.00,71.00,61.00,65.00
100.00,77.00,20.00,53.10
95.00,30.00,25.00,40.50
86.00,45.00,100.00,80.70
70.00,60.00,99.00,81.50
37.00,36.00,55.00,45.70
50.00,33.00,26.00,32.90
33.00,40.00,64.00,50.60
86.00,98.00,25.00,59.10
57.00,75.00,21.00,44.40
53.00,24.00,73.00,54.30
34.00,78.00,23.00,41.70
55.00,45.00,42.00,45.50
89.00,84.00,82.00,84.00
68.00,47.00,84.00,69.70
48.00,87.00,38.00,54.70
45.00,67.00,67.00,62.60
44.00,29.00,77.00,56.00
79.00,72.00,58.00,66.40
31.00,70.00,96.00,75.20
31.00,73.00,49.00,52.60
92.00,56.00,85.00,77.70
69.00,60.00,85.00,74.30
66.00,26.00,35.00,38.50
94.00,81.00,79.00,82.60
29.00,71.00,65.00,59.60
23.00,97.00,21.00,44.20
74.00,64.00,85.00,76.50
39.00,86.00,76.00,71.60
22.00,83.00,52.00,55.30
32.00,21.00,59.00,42.20
37.00,87.00,61.00,64.00
29.00,85.00,64.00,63.30
94.00,72.00,48.00,64.40
85.00,83.00,73.00,78.40
48.00,65.00,25.00,41.60
50.00,91.00,77.00,75.80
23.00,36.00,40.00,35.40
46.00,72.00,51.00,56.30
90.00,68.00,95.00,85.90
47.00,58.00,32.00,42.80
80.00,85.00,85.00,84.00
73.00,76.00,36.00,55.40
26.00,89.00,95.00,79.40
84.00,27.00,37.00,43.40
55.00,37.00,57.00,50.60
41.00,97.00,59.00,66.80
30.00,21.00,41.00,32.80
24.00,62.00,32.00,39.40
73.00,58.00,73.00,68.50
57.00,82.00,67.00,69.50
66.00,30.00,60.00,52.20
36.00,87.00,41.00,53.80
96.00,25.00,86.00,69.70
45.00,89.00,20.00,45.70
46.00,72.00,64.00,62.80
77.00,77.00,75.00,76.00
29.00,65.00,62.00,56.30
80.00,44.00,90.00,74.20
43.00,25.00,94.00,63.10
55.00,86.00,76.00,74.80
45.00,53.00,77.00,63.40
35.00,85.00,38.00,51.50
63.00,38.00,22.00,35.00
36.00,87.00,59.00,62.80
92.00,22.00,32.00,41.00
100.00,58.00,90.00,82.40
31.00,98.00,78.00,74.60
86.00,21.00,82.00,64.50
35.00,56.00,60.00,53.80
63.00,37.00,81.00,64.20
45.00,89.00,80.00,75.70
43.00,59.00,61.00,56.80
40.00,47.00,54.00,49.10
83.00,35.00,68.00,61.10
89.00,75.00,55.00,67.80
80.00,52.00,91.00,77.10
100.00,34.00,60.00,60.20
84.00,61.00,31.00,50.60
72.00,46.00,45.00,50.70
95.00,29.00,77.00,66.20
81.00,36.00,28.00,41.00
55.00,65.00,29.00,45.00
60.00,35.00,40.00,42.50
48.00,76.00,85.00,74.90
82.00,91.00,95.00,91.20
48.00,24.00,45.00,39.30
98.00,42.00,28.00,46.20
76.00,81.00,31.00,55.00
93.00,91.00,88.00,89.90
84.00,48.00,57.00,59.70
73.00,48.00,64.00,61.00
55.00,37.00,46.00,45.10
74.00,92.00,90.00,87.40
23.00,44.00,90.00,62.80
52.00,86.00,41.00,56.70
76.00,79.00,25.00,51.40
51.00,22.00,86.00,59.80
25.00,77.00,78.00,67.10
94.00,65.00,74.00,75.30
39.00,32.00,29.00,31.90
87.00,86.00,100.00,93.20
51.00,70.00,29.00,45.70
40.00,40.00,75.00,57.50
37.00,55.00,69.00,58.40
57.00,28.00,25.00,32.30
65.00,63.00,51.00,57.40
42.00,77.00,71.00,67.00
64.00,83.00,72.00,73.70
61.00,80.00,36.00,54.20
98.00,89.00,50.00,71.30
66.00,86.00,77.00,77.50
35.00,76.00,96.00,77.80
30.00,57.00,38.00,42.10
38.00,97.00,98.00,85.70
100.00,73.00,22.00,52.90
20.00,97.00,79.00,72.60
51.00,66.00,100.00,80.00
33.00,62.00,31.00,40.70
58.00,41.00,37.00,42.40
35.00,95.00,25.00,48.00
77.00,34.00,64.00,57.60
49.00,48.00,86.00,67.20
61.00,28.00,55.00,48.10
27.00,55.00,86.00,64.90
67.00,69.00,23.00,45.60
55.00,79.00,79.00,74.20
25.00,98.00,72.00,70.40
27.00,60.00,40.00,43.40
40.00,93.00,82.00,76.90
33.00,58.00,75.00,61.50
85.00,95.00,73.00,82.00
79.00,50.00,47.00,54.30
79.00,21.00,22.00,33.10
39.00,22.00,76.00,52.40
25.00,85.00,78.00,69.50
81.00,96.00,63.00,76.50
90.00,76.00,61.00,71.30
58.00,31.00,27.00,34.40
49.00,40.00,34.00,38.80
60.00,35.00,43.00,44.00
63.00,85.00,56.00,66.10
28.00,32.00,28.00,29.20
46.00,54.00,57.00,53.90
36.00,52.00,96.00,70.80
82.00,74.00,44.00,60.60
48.00,35.00,35.00,37.60
96.00,30.00,25.00,40.70
65.00,83.00,77.00,76.40
80.00,63.00,51.00,60.40
85.00,96.00,78.00,84.80
83.00,42.00,83.00,70.70
84.00,25.00,72.00,60.30
54.00,60.00,80.00,68.80
62.00,70.00,97.00,81.90
79.00,63.00,57.00,63.20
58.00,81.00,43.00,57.40
30.00,40.00,72.00,54.00
86.00,89.00,23.00,55.40
80.00,35.00,49.00,51.00
69.00,60.00,85.00,74.30
42.00,48.00,94.00,69.80
36.00,99.00,49.00,61.40
58.00,98.00,22.00,52.00
56.00,90.00,91.00,83.70
57.00,95.00,88.00,83.90
21.00,30.00,30.00,28.20
80.00,86.00,80.00,81.80
21.00,80.00,83.00,69.70
92.00,28.00,89.00,71.30
78.00,51.00,29.00,45.40
38.00,32.00,36.00,35.20
90.00,81.00,58.00,71.30
56.00,30.00,72.00,56.20
44.00,26.00,21.00,27.10
68.00,99.00,35.00,60.80
55.00,24.00,63.00,49.70
45.00,27.00,45.00,39.60
30.00,28.00,51.00,39.90
71.00,65.00,45.00,56.20
52.00,76.00,22.00,44.20
68.00,40.00,86.00,68.60
76.00,35.00,57.00,54.20
60.00,70.00,32.00,49.00
41.00,59.00,21.00,36.40
83.00,40.00,21.00,39.10
99.00,61.00,53.00,64.60
71.00,72.00,95.00,83.30
49.00,68.00,86.00,73.20
21.00,96.00,79.00,72.50
47.00,31.00,51.00,44.20
90.00,69.00,100.00,88.70
34.00,71.00,26.00,41.10
68.00,81.00,71.00,73.40
22.00,33.00,64.00,46.30
54.00,61.00,35.00,46.60
67.00,41.00,45.00,48.20
94.00,81.00,20.00,53.10
91.00,99.00,66.00,80.90
57.00,25.00,95.00,66.40
38.00,66.00,65.00,59.90
73.00,47.00,45.00,51.20
83.00,52.00,54.00,59.20
41.00,36.00,44.00,41.00
88.00,82.00,27.00,55.70
43.00,47.00,28.00,36.70
23.00,24.00,94.00,58.80
26.00,98.00,31.00,50.10
81.00,44.00,24.00,41.40
53.00,96.00,72.00,75.40
30.00,84.00,91.00,76.70
29.00,42.00,41.00,38.90
61.00,27.00,66.00,53.30
47.00,82.00,24.00,46.00
25.00,63.00,98.00,72.90
54.00,65.00,73.00,66.80
54.00,79.00,71.00,70.00
98.00,78.00,94.00,90.00
35.00,41.00,53.00,45.80
56.00,22.00,26.00,30.80
86.00,30.00,99.00,75.70
76.00,23.00,96.00,70.10
64.00,90.00,80.00,79.80
42.00,99.00,46.00,61.10
47.00,66.00,31.00,44.70
72.00,78.00,73.00,74.30
34.00,33.00,99.00,66.20
67.00,74.00,51.00,61.10
64.00,94.00,35.00,58.50
42.00,87.00,52.00,60.50
89.00,81.00,74.00,79.10
92.00,90.00,93.00,91.90
86.00,64.00,99.00,85.90
76.00,20.00,68.00,55.20
95.00,69.00,42.00,60.70
53.00,77.00,46.00,56.70
45.00,34.00,83.00,60.70
54.00,66.00,30.00,45.60
36.00,34.00,25.00,29.90
65.00,96.00,23.00,53.30
78.00,93.00,95.00,91.00
50.00,35.00,66.00,53.50
94.00,35.00,67.00,62.80
77.00,76.00,57.00,66.70
95.00,61.00,66.00,70.30
99.00,96.00,97.00,97.10
20.00,28.00,37.00,30.90
70.00,25.00,34.00,38.50
20.00,74.00,57.00,54.70
26.00,39.00,53.00,43.40
65.00,74.00,93.00,81.70
54.00,83.00,98.00,84.70
26.00,25.00,88.00,56.70
69.00,80.00,41.00,58.30
41.00,75.00,93.00,77.20
68.00,64.00,99.00,82.30
88.00,66.00,90.00,82.40
81.00,88.00,39.00,62.10
65.00,34.00,32.00,39.20
85.00,59.00,38.00,53.70
34.00,83.00,67.00,65.20
92.00,22.00,47.00,48.50
92.00,59.00,78.00,75.10
72.00,25.00,66.00,54.90
94.00,68.00,25.00,51.70
65.00,82.00,91.00,83.10
65.00,96.00,48.00,65.80
29.00,54.00,24.00,34.00
68.00,52.00,60.00,59.20
57.00,71.00,85.00,75.20
72.00,95.00,52.00,68.90
39.00,21.00,27.00,27.60
39.00,54.00,37.00,42.50
77.00,32.00,45.00,47.50
89.00,88.00,45.00,66.70
36.00,97.00,21.00,46.80
26.00,78.00,46.00,51.60
73.00,96.00,87.00,86.90
23.00,45.00,72.00,54.10
69.00,43.00,34.00,43.70
85.00,55.00,96.00,81.50
81.00,97.00,75.00,82.80
68.00,72.00,85.00,77.70
21.00,22.00,64.00,42.80
50.00,22.00,95.00,64.10
53.00,93.00,28.00,52.50
85.00,100.00,32.00,63.00
56.00,58.00,47.00,52.10
42.00,61.00,44.00,48.70
56.00,82.00,38.00,54.80
96.00,43.00,59.00,61.60
46.00,75.00,56.00,59.70
76.00,21.00,71.00,57.00
89.00,72.00,32.00,55.40
45.00,72.00,90.00,75.60
47.00,95.00,79.00,77.40
98.00,50.00,31.00,50.10
69.00,32.00,54.00,50.40
49.00,32.00,59.00,48.90
